-0.26367,-0.19971,-0.61572,-0.69336,-0.79248,-0.81836,-0.84082,-0.84424,-0.84082,-0.85791,-0.88818,-0.90967,-0.8833,-0.8208,-0.83691,-0.91162,-0.89063,-0.77246,-0.76367,-0.65625,-0.47412,-0.21045,0.33105,0.36133,0.31152,-0.18506,0.83984,0.21094,0.062012,0.54346,0.87891,0.058105,0.57031,0.56787,0.44141
0.68359,0.6792,0.55908,0.4917,0.44629,0.38184,0.35889,0.3418,0.33301,0.34521,0.34717,0.35547,0.34082,0.35107,0.37109,0.37842,0.43896,0.49365,0.50049,0.56689,0.59717,0.68457,0.78857,0.85205,0.75146,0.51611,0.69678,0.55176,0.51563,0.5459,0.61084,0.63086,0.69238,0.53271,0.55371
0.79834,0.66992,0.52246,0.39551,0.2168,0.12158,0.061035,-0.054199,-0.072266,-0.086426,-0.11084,-0.11084,-0.073242,-0.025879,0.0024414,0.12207,0.24219,0.30371,0.43701,0.57715,0.66602,0.78711,0.96387,0.90039,0.69629,0.76465,0.88672,0.90381,0.93115,1.0801,1.1499,0.28906,0.60693,0.99512,0.67285
-15,-7,-12,6,-3,4,4,-10,8,1,-6,9,4,-5,22,-3,-21,-20,37,-82,-53,45,36,-48,-65,-93,20,4,25,28,-3,-24,16,-2,8
-19,-18,-29,1,-7,-20,2,1,-4,110,-10,10,4,-1,1,1,-8,-20,-4,-38,23,11,1,-30,6,-62,3,-36,5,15,18,4,-2,-6,3
-11,-4,-23,-8,0,-2,1,1,2,-2,5,4,-7,-8,-2,-2,6,2,-1,-19,4,13,-5,-9,-5,-16,12,-11,3,-5,3,3,-4,-5,-3
-7,4,-7,-12,-10,-9,-7,5,-1,-5,-3,5,-9,-6,3,1,3,3,-9,-12,6,9,-9,-4,-7,-9,2,-6,4,-3,6,2,-4,-3,-5
-4,2,1,-16,-5,10,-11,-4,5,-1,-3,-8,0,-9,-3,-3,4,4,-22,-10,31,9,-4,3,-13,-23,4,15,-7,5,3,1,-1,-3,-5
-1,-1,-4,-4,-2,0,-1,-1,0,-1,-2,0,-1,-3,1,0,-2,9,-11,-8,2,3,-15,-2,-3,1,2,13,1,1,-7,2,-4,-3,-2
6,0,1,0,0,0,0,-4,1,-1,-3,-3,-2,0,0,-1,1,10,3,0,-4,4,-9,5,-11,-6,2,-3,-1,-1,-4,0,-1,0,0
2,3,-1,27,3,7,-4,-14,-1,1,-3,0,-4,-2,-2,4,-2,56,15,-23,53,39,-59,33,-28,-20,32,-1,14,11,12,-6,0,2,7
38.688,37.688,37.813,29.313,24.813,19,15.25,5.875,3,0.3125,-2.0625,2.375,2.1875,-1.1875,-10.938,-16.188,-34.688,-31.25,-38.75,-30.313,-21.188,-13.813,1.875,-7.375,-12.25,-0.5,4,2.9375,-0.4375,-2.1875,-1.4375,12.313,19,3.1875,37.125
